TID,criterion,judgement,original
N10330C,-2.183751267,5.995000215,"I am still interested in swimming it is my favourite hobby. I got on at college and now am a computor operator. I Joined a cRicket club and play cRicket alot ilive in a *ig house with a east and west wing on it- with servents a shover and cook I have two cars i have a wife and a child a Boy i have got every Think i want I wark from 9oclock to 10oclock I have been married 3 years now. I go to the cRicket club every sunday afternoon and dan,t watch tv much . only *** and the I have put on alot of weight since a m***th ***. I collect stamps and gave up coin collecting I go wait lifting in my spare time and have got a Bookcase Because I am very fond of Reading! I read ***** and comics. and go to the cinema a lot we go on a holiday every year we are going to majorca this year. I play FootBall as well a cricket I have a weeks haliday each *** - I wark very hard.  "
N10372N,1.211358752,5.232178134,"I am leading a happy life and I am getting used to gardening and working. I am still collect ing stamps and things I am a boatbuilder. I have a car and can drive it. I am not married. We build fibre* glass boats of all sizes. they are Dingys, Sailing Dingys and Dorys (speedboats) and sailing yacht's I live in a bungalow in [town] with my cousin [male name]  "
N10393T,0.079655412,5.60511417,I am a nurse I like my work and like looking after Other people and makeing Other people well again I am marided and I have two children two little girls their teachers say they are geting on all right One is 5 year Old and the Other is 7 years Old. we have a mima bird and a cat my [name] the eldesed girl loves the Cat its name is Kitty-we [name] my younget girl Say the Taey the bird is hers Only my Bother [name] brough it for me for my Birth day my husband made the Cage. I often make cakes and Songes for [name] and [name] it is [name] Birth day Soon and I must Buy her some toys I must allso buy [name] a little Some thing because She gets Jeles She does not really under-Stand. I work at [hospital] I work in the childrens ward So I know really how to look after children I work from 9 in the morning till ten at night. So I am there in the morning to get my children off to School and my husband is there in the ending of School So he gets them off to bed and gets their tea and Supper. we do not live in London We live in [town] there is to much trafficc in London besides it is no place to bring up children. we all go Over the woren Sometimes to Camp. I ask [name] to ask her friends to Come to her birth day party. and [name] Say She will invite Some of her freinds too. We go on holloday to [location] it is very nice there well we engoy it. [name] gos up my mums house and [name] go up my mum house and they have turns each. we have not a Car.  
N10424H,0.079655412,5.53522971,"Now at 25 the life that a girl leads could be a bore with children. I think at the age of 25 a girl should like to get married and have children and enjoy her self I work when I get the time I enjoy having children at a young age. I wanted to get married at, twenty but my hopes my mother didnot agree some times children will be a bit underconrol* but it's the young age I love to play with my dog she's such a sweet little thing with the work I do I havent any time for hobbies there cleaning and teh children and I like to stiel peoples hain* in my spare time I would also like to start a kennel for dogs a little latter on, I love living in the country I some how feel safer with children there are not so many cars about as there would be in a town or city in my spare time I like to do swiming kirting and art when I do get my spare time I go to a nearby town to help with the dog kenn els. when I get at really lot of time I love to play a instrument. I also like to study animals like there tricks and there way of behaving I also like to skacth them there ways are so diffrent to ours.Essay 2I had been in the school orchestra when I was at my college and had been in my Royal College of Musics orchestra. I played the celio. I had left the school 7 years ago and have now been married for four years. When my husband and I were married I was 21 and he was nearly 23 years old. His name was Stephen he was a young and keen dairy farmer. We had a 150 farm with a fairly large farm-house. We both loved music and had great fun in the evenings with the many instruments we managed to own between us. We had one little boy of just 3 years old and one on the way, the name of the boy was David.       Stephen spends alot of his time out on the farm with his small herd of cows which he has to milk at weekends night and morning and in the summer he spends night and morning and in the summer he spends long endless hours out in the evening making silage. The whole farm is on a beautiful setting with a glorious view. the front of the house faces west and also has a gorious veiw looking across some of the glorious fruit farms of Essex.      The family begins to stur at about 8 o'clock pm when Stephen gets up to go outseide and starts his usual days work before breakfast on the farm. While I get David and myself up and cook the breakfast. Breakfast is at about half-past eight to quater to nine. After breakfast there is all the house work to be done breakfast walked up a lunch cooked while David either plays in the garden or goes with Stephen about the farm. Lunch is at about half past twelve. Then in the afternoon sometimes if it is spare and Stephen has no**thing he must do. we will go out and have a nice afternoon haveing a picnic or some thing amusing. Although Stephen and I enjoy haveing fun with childrin we are both very fir** on bringing children up. Children may be tyring when they are small, but the wonderfull thought of haveing a child to s*are with you husband and have it for your very self is a very wonderfull thought and makes me feel much better when I get cross. He does not go to school ye*. Bed-time I always I always long for the time when I get David into bed and can get on with the jobs* down stairs like sewing, feeding the car and the dog, have our super, doing the farm records and wages with Stephen get ourselves ready for bed after along days work. I think that this is the sort of life I would like to lead.  "
N10454P,0.079655412,7.110498159,I am married and live in a small house in a quiet part of the town. I have a full time job as a vet and have pets of my own. Every morning I drive to work in my car which is a mini. My husband is a doctor and works almost the same hours as I do. Most of my spare time is taken up doing house-work but at night I like to watch television or read . My pets are a pyranee mountain dog a siamiise cat and a parrot. I live quite near my mothers house and see her every day after work. My husband takes the dog a walk every night and studys a lot. he also likes golf bud dosn't have much time to play it. We usually go down to the south of England for a holiday and a friend keeps our animals. Both our ambitionsare to become better at our work.  
N10499C,-2.183751267,6.487218212,"I am married and have a secure job as a music teacher travelling around the schools in my area . In the evenings I go to the collage and study . I do not have any children . We live in (place) . We have no problems about money as my job is well paid . We have a car and are not livingincouncil houses . We have our own house . We have no plans to immigrate or anything like that yet . I enjoy fishing very much . I have just come out of the airforce . I was a pilot , I had the rank of flight sargeant .  "
N10546S,0.079655412,4.48895458,"When I am at the age of twenty five I hope to be a perfeshenal carpenter I like the job because I like sawing and making the wood smooth I hope that I will be sent out on a job like mending door because if it is the door rubing on the floor I will know how to do it I will take the hinges of and then I will take a peice of the bottom of the door and make shure that I put the hinges on properly and I hope that the person in the house will ofer me a cup of tea and some biscutes with it and then I will say thank you and say good-by that will be the end of one job, But in one day I might be brought out on two - or three jobs a day I would have a mate who would come with me on a job we might have to fix the skurton on the wall. or I might have to fix a desk or a sideboard a settie would not be very hard because I hae seen on being put togethe at 10am I would have a mars and a few sandwitches and a cup of tea aswell. I would come home for dinner and I might have steak and chips at 1 30pm I would go back to work and I would work untill 7 30pm I would come home at 80pm and go to bed at 10pm I would be very tired before I go to bed and before that I would have a cup of tea again just before getting into bed and the kiss the wife before I get into bed and then I would sleep peace-fully  "
N10579B,0.079655412,6.837178492,"As I awoke I got ready and opened the door of the barracks theng* walked towards the airfield. I headed towards the control tower on the airfield, I recived my orders that I should fly around the airfield for a few times in a gnat aircraft. So I went towards a hanger and taxied to the begining of the runway with my jet engines roaring to go. Suddenly I heard a bump and I was off the ground flying over the small airfield. An hour later I found that my fuel was running out so I decided to land. When I landed I went towards the kitchen for my dinner, the food is not very god in the R.A.F. but I do not mind. In the afternoon I useually help checking out the planes. I check out the under carriage and the jet engines and sometimes I have to clean them out. Then at three o'clock I went to test out some new planes so I went towards a other hanger. I had to fly the planes ten times round the airport. They were all kinds of aircrafts some were vulcans, guat* and lightnings all hard to fly. At teatime we have tea and then we go into town and go in the pictures. At ten o'clock sharp we have to be back at the barracks in bed and the lights turned out at half past. Then we start again in the morning if it is a ordinary day. If it is a show I go in a plane and showoff.  "
N10614M,0.079655412,6.589489354,"When I am older I hope to work for the police, in the Forensic dept. I am at University studying biology. I have past a few tests allready. I stay at a friends house near the univesity. At the moment I have a mini and I have passed the driving test and I hope to get a new car soon I like sport exspecially cricket football and swimming I am good at all three I am opening batsman for the university cricket team a I bowl aswell. I am a reserve for the football and swimming teams. I collect coins from all over the world and I have some pennies threppeny bits six penny bits a shilling and two shilling bits from before 1971 when Britain changed to the decimal system, I also have coins from over 35 countries. I have 1 brothers and 3 Sister the brother is married and has a family with 2 children, one sister is married aswell she has three children and is in U.S.A. One sister is at University aswell the other has a job as a telephone operater and isnt marriid.  "
N10644T,0.079655412,5.574067757,"""At the age of 25 I shall be marrid. My interests will be cricket and football. I would like a house of my own, with all modern things. My job would be the army in which, I would train to be a radio oporater. In my spare time I would go home to my family, and sit in the garden. We would go to London to see films, one of which would be """"the great race"""", and many others.""  "
N10855C,0.079655412,6.271999494,"I work at an office I am a shorthand typist I am supposed to be at work at 9o'clock I am usually late I have a car because my work involves a lot of travelling within a twenty mile radius. I work for a paper and I am sometimes away for half of the day and I have to type like anything to get the story ready for printing for the evening edition. I work 5 shilling a* hour and I clock of at 5 I work 7 hours aday 1* hour for dinner break. I am a member of a womens commitee which is held on wednsdays at the town hall. I have three weeks holiday in the summer this year I am going to Europe for two weeks and I hope to visit Spain, France, Portugal, Austria, and Sweden, for the last three days of my holiday I have to go and cover an exibition in london for which I get extra money because it is supposed to be my holiday and double pay one of the days because it is a Sunday. I have 2 week's until my holiday I am going with two friends from work. we are doing the travell on land in my car and spliting on boat fare and petrol money. there is also the bosses daughter who is coming she is Just turned 22 and is the youngest who is coming. we will be in Spain for one of there grand festivals and we are going to see the festival and bullfight. we are staying in Austria. for three days and we are going to be exploring the alp's  "
N10884H,0.079655412,4.8081948,When I am 25 years old I will be at work as a Stunt moter bike ridder in films. I will have my own moter bike and car the car I like is a Sweedish vovo. I would like to maryyie a normol girl I will be making about xxxx100 a week. I could be a prearing iN the famous film Bulltt. I would like two boy named [name] and [name]  
N10914W,1.211358752,6.160845515,Now I am 25 I am leading a very intresting life. I am married and I work at the **** Collage. In *he wood work department. At home my hobby is collecting stamps. The car that I have is a Jaguar. We have a very big garden which is mostly grass but some of it is flowers and the rest where I plant seeds for some food. It is a hobby. I take my wife out about once a week. And we go to dances. When I am on holiday I go to see my sisters. One is 23 and the other 27 we also go and see my wifes farther and mother mostly working for five days a week. Another hobby is golf. I go to church on sunday. And I help with what goes on like jumble sales and so on. We dont live in a house but we live in a bungalow. We have a colour T.V. we are very friendly with our next door neibour who has three children. But they keep pinching our plum* or our trees. I wont let my wife go to work. I hop to have a girl and a boy. I think I lead a very nice life.  
N10949H,0.079655412,6.740851743,"I am a bank clerk and I think I lead a very exiting life because, I meet many new faces, and work with interesting people. My favourite hobby is football and sometimes in my spare time I collect stamps and coins, my favourite country to visit is Australia or Canada because of the great views and important states, I also have a cousin in (place) , in Canada. I live with my wife. When I am in a bank all day I usually have to tackle checks, and money problems. At weekend I go to football matches or the cinema. When i come home at night I usually watch television or read books, I also like animals and reading about their lives. I like reading about the wild cats and pets you can keep and home such as rabbits, dogs, cats and the tortoise. I have a car and also a caravan so when I'm on holiday I travell all round Great Britain , and Ireland. My favorite places are up in the Highland were the deer rome wild, (place) for the great beach and (place) were many TV stars have shows, such as (tv stars) also the (place) which I have been up, at the 10.  "
N10959K,0.079655412,4.228944276,farmingI am 25 and I am going to be a Footballer and I am a good Footballer and I am  
N10989R,0.079655412,6.484985407,"My name is (name) I am 25 years old. I am leading a good life and I am enjoying it. My intrests are , Horse Riding, Swimming, Ballroom Dancing, and Reading . I have a very good job as I am an air Hostess and I have sen many different places . The places I liked the best were Spain where all the dresses were colourful and of course the bullfight was good too, Italy, France, america, australia, and Canada. I enjoy being an air Hostess because you meet a lot of people and you get a lot more freinds The good thing about being an air Hostess is you are not kept in the one place all the time but you get around and you also learn diffrent languages which can be helpful sometimes. I am always glad when I can get home for week-ends and a weeks holiday as I miss my parrents very much and I also miss my pets. When i get home for holidays I always bring presents for my parents from everywhere I've been . I am always glad to get home and get a rest after being up in the air all day and as soon as I give my parents their presents and get something to eat I go straight up to bed to get a sleep as I am very tierd. When my holidays are over I am in a way glad as I sometimes get bored when I have nothing to do so I am always glad to get back to work and back to my very best friends and my passengers. I think I am very lucky to have such a good job and to see all the countries round the world and get to know them and their languages and how they live I think it is most interesting .  "
N11061E,-1.052047927,5.644948858,"I am now 25 years old and I am a dressmaker. When I am at home I enjoy my spare time knitting and cooking. My main intrests are knitting, sewing, chrocheting. I like designing clothes, I own a clothes shop and I sell most styles of clothes. I enjoy sewing up the clothes I have designed for my shop. I have a very nice time swwing the clothes on my sewing machine. I have decided not to get married just yet because a husband wouldn't be able to help anyhow. If I do get married I will have a white wedding and I will still keep my same job unless it is nessasary that I have to give it up. If I get married I would like to have two girls; I would dress them alike because two children always look nice when they are wearing the same clothes. I could make their clothes myself if I was still a dressmaker. It would be easy to make the same clothes if they were twins. I would still make clothes even if I didn't work in the dressmaker shop.  I would be able to buy skirt lengths and make nice winter skirts. I could make my own dresses and clothes. That is just about all that I could possibly think of, just at this minute. My husband would have to be hard working to keep us through the week.  "
N11087Q,0.079655412,4.40195679,"I am Mrs [name]. I am 25 years old. I am a working a girl in an office. I have 4 children I have been marryed 5 years, my marrrige is going steadly. I am a very busy girl. My childrens names are [name], [name], [name], [name]. My children go to a school in [town]. I am marryed to [name] he works dowen the mine. My childen work hard at school [name] is very good at Maths of any kind. [name] is good at spelling infact she is better than me [name] is gooding at writing and reading. [name] is not old enorft to go to school he will go in two years time. When he goes I will miss him very much indeed because he keeps me company. I have good report on two of them on behavoir but not on [name]. That is the storey when I am 25 years old.  "
N11113Z,0.079655412,5.00288774,"I who I am 25 years old would have pets like dog, fish, bird and a cat, I would draw out door things and paint I would like a house in the country so that a could draw out door things, I like to draw animals like dogs, cats, and wild animals, I draw sea animals of all shapes, I would do a bit of craft and writing. I would like to be married with children to look after, I would not like to have too many. I would like to have* one* have* each girl and boy and I would like to talk to my friends, and my brothers and sisters. There is a lot of things I would like to do if I was 25 years old.  "
N11152G,0.079655412,5.633311378,My name is **** I am a foot ball player for a team called west ham united I live in the country near* b**ld on so it is easy to get to west **** goods. I drive a rolls royce every where. After a football match and **** I get time* I am **t in the p**** teaching my **** how to* why rover*. I like playing table **** with my **** sometimes ** *** **** and and* the* paper a* I watch telly. I am a table tennis club is my part time job ** sundays I go down to the pub* with my friends and have couple of d**** this got a pet lion* who is very home. **** times I like the *** to b**** with my pet ***  ** ** can let him ** h*** with the **** **** Hes not an ordinary lion because he is white I bought him in 1983 before I g*t married he was only 2 months old. He is now ** years old. I have got some trophys some are football trophys and come are t*llet***es I still go to Judo* I am now a black belt 3rd dan. Tomorrow I am 26 and I am playing in a football match against manchester united  
N11174N,0.079655412,3.87763735,"For the work I wash clothes, and cook, and wash the window's, put the fire on, make the beds. my interests, or reading, cooking, siting in the garden, drawing. wrighting letters, making freinds and been freindle. My life I am leading is looking after the children and my husbend, bringing some children up, my home life, lookng for a job, looking after animales, sometimes * digging the garden, visertin people in hospitel, going to the librey, knitten, sewing, going out on a night. driving a car, and shopping. Tacking *children to church and to school.  "
N11207E,0.079655412,4.895788107,"""I am working in the Merchant Navy . I am stationed in (place) . In two days I will be leaving for Scotland . My crew mates are (name) , (name) and (name) (name) is the ship's mate , (name) is the cabin-boy and (name) is ship's doctor . My shop is , (shop) . I have a wife and two children . They live in (place) , that is in (place) , one of my children is named (name) , after my wife , and one is named (name) , after my self , (name) is fair haired and is aged 14 . (name) is 11 years old and is dark haired , he is 4ft 11 1/4 """" tall . (name). is 24 1/2 years old 5ft 10in height and is 5ft 10 inches tall .""  "
N11242H,-1.052047927,5.725110104,"It is my twenty fifth birth day I live at 123, [street name], [vilage], Surrey. I have three children. I go to work in the evenings from five thirty untill half past nine. I shall have to go shopping soon. Where shall we go to [London Borough] I think. After if we see any horses we shall follow them for fun. some day you shall have riding lessons if you want and we make enough money we might buy a farm and have some horses of our very own. Well come on or we shall miss the green line. Here it comes now quick thats it we are off were coming into [village] now whoops this is a bumpy road isntit here we are [London Borough] come on every body out. Lets go to Marks and Spencer first then (and Its a lovely day isn't it for lunch lets buy some whympys and eat them in the park across the road we can sit on that bench under the tree its nice and shady and we can feed the pidgeons at the same time and arnt they lovely and the green on the back of their neck is lovely to.  "
N11272P,-1.052047927,5.286498532,"My life now is diffrent, now I am in a Job and I have quite a bit of money now which I can use to buy a house and live in comfort maybe mot for my life but at lesled for the best part of it. I work the best part* of a week and I dont have much chance to get out only* on* sundays. then I might roam about in the countryside and I might even play with a few children to keep them happy I try to get further afield in my Job bat as yet I have not done so I might stay* in this Job for quite a while it is quite a nice Job my mother* and forther are still working my forther is retiring* next year and my mother the year after that during the holidays I get I mostly play cricket with the [suburb] Sunday cricket team in January I am going to leeve the team I read a lot now and I eJoy life a lot more  "
N11323H,-1.052047927,4.621562318,"I am now twenty five years old and I am married, I go ** to work in london and my husband is a jugglar in london. I earn 25 pounds a week. When I come home at nights I cook my husbands dinner and supper. I work in a cinama is london doing tickets. My husband works in a theater on stage he starts at half past 2 and ends an ten o'clock. I starts* at 1 o'clock and finish at 11 o'clock. I come home at nights and I r*n and wash the clothes. My husband earns 30 pounds a week and he doesn't work on saturdays or sundays. I do not work on saturdays or sundays I stay home and do the work. I get 5 pounds for my house keeping money and on saturdays I go and do the shoping. on sundays I go to the pictures because I can get in free* and I like seeing films. And when I finished the washing and froning* I go to bed.  "
N11356S,1.211358752,6.814469089,"I have got a job of being a carpenter, and a part time job in the theartre as a musician I play the violin and some times the piano. I have been having driving lesson's and have got on very well, I passed my driving test successfully a few weeks ago , I now have bought my self a car and I am using it quite a lot, it is quite difficult to drive as it is new. I am still living with my parents, but saving up to buy a house and for when I get married. I have planned the marrage to be in three years time. At the moment I am looking round, for a house that is some thing like the kind I would like to buy, so I don't have any trouble when the time comes. At the moment I like a house that I have seen up in [county], but it is along way to travel to see my parents. Four years ago I finished a three year training course at [university]. I studied English, Speech and Drama. When I am married and I have settled down in my new house I am going to be a chemist (Pharmacist) and work as an actor in the theatre. In my spare time at the moment, I read, write compositions, draw and paint, help at home, do our garden, look after my car and sometimes rest.  "
N11385X,0.079655412,4.87819321,My story opens out in a litter town in f*****. I am not marrng but going out with [male name]*. I have four dogs. 1 cat and 1 bird. My Job is hair dress. I am not rich or poor. I have a Sports Car In my spear* time I play netball of Enland. I like Poetry and read* a lot I have tould with my bext door neybours one for the comes home drunk and saying I like ****sing and pop music and I am saving up to live in the country. I have a baye well a girl Called [female name] I think my mummy and daddy are nice and I like swats and I beleve in chirst and I am supsisger and I never spent on lanes or walk on ladders. My best calour* is ed* but I have a black navy* dress* with a white mink*  
N11412H,0.079655412,4.624267133,"My life that I am leading is good for I have a job that suits me fine. I work as a carpenter in a large building. The carpentry I do is quite good for so people say. I work Mondays for six hours, Wednesday for four hours and Friday for seven hours. The wage I get is quite resonable. Tuesday I often go helping [illegible fiche] for four hours. This is quite enjoying [illegible fiche]. At home I watch sport on television and practice running a bit for fitness. I read alot when Im tired from working through the day. I make my meals my-self. I am not married. Sometimes a freind comes and cooks for me, of course I thank him for helping. One of the things I like to do [illegible fiche] relax by doing a bit of fishing [illegible fiche] It only [illegible fiche] for relaxing [illegible fiche]. I practice the [illegible fiche]. Me myself I do [illegible fiche]. in a [illegible fiche - long passage].  "
N11452R,-2.183751267,4.112065423,Some times I play Football and go Boxing I am married and have some children. I like Sports I work and I read it lot I like going to football matches A lot I suppet chelsea I go out A lot. I live in A house.  
