id,criterion,judgement
N18744E,0.079655412,4.489600889
N18773K,1.211358752,6.398307717
N18811Y,1.211358752,6.44983117
N18900Y,1.211358752,6.617415145
N18958S,-1.052047927,5.929251165
N18986W,0.079655412,6.591058448
N19045N,0.079655412,5.864949211
N19086X,0.079655412,4.601830406
N19109M,1.211358752,6.443975055
N19132L,1.211358752,6.295191175
N19167X,-1.052047927,6.286176818
N19199F,0.079655412,5.609089196
N19227S,0.079655412,3.983619803
N19260T,2.343062092,6.49031464
N19290Z,0.079655412,4.51245121
N19309T,-1.052047927,5.306117868
N19359D,1.211358752,6.864053102
N19415U,1.211358752,5.921901783
N19468H,0.079655412,5.205684691
N19494K,-2.183751267,4.217632514
N19512U,0.079655412,5.95555231
N19534A,0.079655412,6.462481594
N19565H,0.079655412,5.106576199
N19587P,-2.183751267,5.162829056
N19624B,0.079655412,6.848605554
N19645G,0.079655412,6.071587741
N19671J,1.211358752,7.01764603
N19782Q,0.079655412,6.229364546
N19810B,0.079655412,5.355653648
N19826K,0.079655412,5.107565171
N19879Y,0.079655412,7.460366334
N19898B,0.079655412,6.341588446
N19933M,0.079655412,7.136372585
N19997D,0.079655412,4.523486851
N20029F,0.079655412,5.714330607
N20066L,0.079655412,5.897915118
N20094Q,1.211358752,6.366478273
N20121A,0.079655412,6.173556485
N20162K,1.211358752,4.506138912
N20188V,0.079655412,3.709710541
N20208G,1.211358752,5.580700555
N20244L,0.079655412,4.936863411
N20274S,0.079655412,5.39736152
N20295X,0.079655412,5.193689568
N20332K,0.079655412,6.484691636
N20357U,0.079655412,6.415447621
N20398D,0.079655412,6.170646682
N20420J,2.343062092,5.709697645
N20455V,1.211358752,6.128222997
N20479D,0.079655412,4.64090243
N20499H,0.079655412,4.230517217
N20521N,0.079655412,5.304634675
N20545W,0.079655412,5.657388549
N20576D,1.211358752,5.427273569
N20608U,0.079655412,4.416684515
N20627X,-2.183751267,5.063802172
N20652Y,-2.183751267,5.663892887
N20704T,0.079655412,6.497666474
N20729C,1.211358752,4.061241355
N20758H,0.079655412,4.694636212
N20783J,0.079655412,6.088863597
N20809B,0.079655412,4.164970875
N20842C,0.079655412,4.962143742
N20905A,2.343062092,5.055730698
N20927G,1.211358752,8.085605128
N20953J,0.079655412,3.85192313
N20975Q,0.079655412,5.14241249
N21010Y,0.079655412,6.825578794
N21060J,-2.183751267,5.061621807
N21122F,2.343062092,5.128324246
N21163Q,2.343062092,7.794777198
N21192V,0.079655412,5.200131298
N21207K,-1.052047927,5.873215278
N21273V,2.343062092,7.431818037
N21306M,0.079655412,3.740555973
N21339W,0.079655412,6.029443098
N21361U,1.211358752,4.889074098
N21391A,0.079655412,5.513045719
N21424S,1.211358752,4.536921366
N21449B,2.343062092,6.259086253
N21485F,0.079655412,5.140709193
N21515U,2.343062092,6.283761766
N21557E,0.079655412,4.24235944
N21585J,1.211358752,5.877547259
N21610S,0.079655412,5.274076409
N21645D,0.079655412,6.892325785
N21672G,0.079655412,5.621174854
N21700T,-1.052047927,4.173700178
N21731A,0.079655412,5.977727465
N21769Q,1.211358752,6.946019947
N21796T,-1.052047927,4.469369256
N21815D,0.079655412,5.837489582
N21854L,0.079655412,5.666962902
N21869T,-2.183751267,6.05339157
N21904D,0.079655412,6.450683794
N21935L,-1.052047927,6.762521334
N21956R,0.079655412,7.189181282
N21991U,0.079655412,4.559948243
N22015H,0.079655412,4.721708967
N22038Q,0.079655412,5.47644141
N22067V,1.211358752,5.729245146
N22089B,0.079655412,5.158071727
N22113J,1.211358752,6.394997928
N22139U,1.211358752,5.582433488
N22165W,0.079655412,6.036164184
N22195C,0.079655412,5.71057443
N22225R,1.211358752,6.232138956
N22254W,0.079655412,3.970620411
N22285D,0.079655412,4.649506247
N22305Q,0.079655412,6.938993035
N22340T,0.079655412,6.164039582
N22359E,1.211358752,6.020065391
N22389L,1.211358752,6.722746142
N22412S,0.079655412,5.358655781
N22448E,1.211358752,6.992859035
N22474G,1.211358752,4.778280113
N22503U,0.079655412,5.792430882
N22540Z,0.079655412,5.145905346
N22562F,0.079655412,5.229366027
N22587Q,0.079655412,5.877623491
N22603X,0.079655412,5.261764854
N22627F,1.211358752,6.64052541
N22668Q,0.079655412,4.388375658
N22690N,0.079655412,5.881110647
N22727J,1.211358752,5.968583055
N22744K,0.079655412,6.21554364
N22801B,1.211358752,7.659358408
N22834L,1.211358752,5.862789307
N22859V,0.079655412,5.499166022
N22891V,0.079655412,5.46734164
N22963U,0.079655412,6.870337452
N22978B,1.211358752,5.787144453
N23016N,0.079655412,4.511120843
N23091Z,1.211358752,5.808883951
N23115Q,1.211358752,6.465574754
N23134T,0.079655412,5.60882897
N23173A,0.079655412,6.201819225
N23197J,0.079655412,3.992195627
N23219X,1.211358752,5.069051894
N23255B,1.211358752,5.975124755
N23271B,0.079655412,7.035339923
N23307W,0.079655412,4.429060676
N23336B,0.079655412,5.605269093
N23362D,0.079655412,5.033494959
N23397Q,2.343062092,5.011025409
N23440A,-1.052047927,4.05914737
N23456J,-2.183751267,5.310672075
N23483M,0.079655412,4.021729794
N23516D,0.079655412,4.954166908
N23578T,0.079655412,5.709631886
N23638N,0.079655412,5.89697753
N23662N,0.079655412,4.637269802
N23689Z,0.079655412,6.845528677
N23714H,0.079655412,6.893898808
N23779A,0.079655412,5.156926873
N23795A,0.079655412,6.456161592
N23822L,0.079655412,3.970335339
N23844S,-1.052047927,5.671982854
N23887D,0.079655412,6.561426875
N23918T,0.079655412,6.599392324
N23936V,1.211358752,5.889991816
N23962X,-1.052047927,6.092057629
N23998K,1.211358752,6.146613892
N24030Q,0.079655412,5.31470169
N24036W,0.079655412,7.080901045
N24123U,0.079655412,5.252037406
N24155C,0.079655412,4.82203984
N24178K,0.079655412,5.14345964
N24221V,0.079655412,6.58807546
N24242A,1.211358752,6.827547369
N24274J,0.079655412,4.754734623
N24299T,1.211358752,5.227039144
N24326D,0.079655412,6.289586135
N24359N,1.211358752,4.796138657
N24382M,0.079655412,5.510196766
N24413B,0.079655412,5.185567945
N24442G,0.079655412,5.3527191
N24459R,1.211358752,5.616683439
N24490Q,0.079655412,5.966564337
N24527L,1.211358752,7.425824087
N24554P,0.079655412,5.206836201
N24577W,-2.183751267,4.414392437
N24602E,-2.183751267,4.958230767
N24630J,0.079655412,5.199809922
N24662S,0.079655412,6.095999973
N24720K,1.211358752,5.750531594
N24783A,0.079655412,4.89900596
N24818U,0.079655412,5.763820311
N24841T,0.079655412,4.756760839
N24865B,0.079655412,4.978047381
N24885F,0.079655412,4.76155205
N24910P,1.211358752,5.74814684
N24964D,0.079655412,5.316174471
N25002Q,0.079655412,5.933797339
N25023V,0.079655412,4.785761295
N25054C,0.079655412,6.071136148
N25098Q,1.211358752,5.652474719
N25150B,-2.183751267,4.585071171
N25162F,0.079655412,5.09772951
N25183L,0.079655412,4.83578814
N25242E,1.211358752,4.892655941
N25277R,0.079655412,5.506317978
N25301Y,0.079655412,5.60923585
N25326H,-2.183751267,4.622183656
N25356P,-2.183751267,3.769736689
N25385U,0.079655412,6.500558623
N25412E,1.211358752,5.96884723
N25467V,1.211358752,5.27809329
N25488A,0.079655412,5.093075576
N25525N,0.079655412,3.970780148
N25552R,-1.052047927,6.427898652
N25586B,-1.052047927,4.913896737
N25640Q,0.079655412,5.664886641
N25671X,0.079655412,4.584690192
N25692C,-2.183751267,5.469509207
N25723S,0.079655412,4.467818382
N25744X,0.079655412,5.876813255
N25772B,0.079655412,5.546806598
N25799N,0.079655412,5.669313053
N25827Z,2.343062092,6.47628131
N25865F,0.079655412,4.556804763
N25913W,1.211358752,6.448482193
N25945E,-2.183751267,5.402069622
N25969N,-1.052047927,5.797947833
N25990K,0.079655412,6.324206128
N26012W,0.079655412,5.113228803
N26038G,-2.183751267,5.00245987
N26093P,0.079655412,4.608088347
N26120Z,0.079655412,4.123049006
N26149N,1.211358752,6.459370579
N26186T,0.079655412,5.03586822
N26223F,0.079655412,4.801450816
N26244L,-2.183751267,5.327734361
N26272Q,-1.052047927,5.970300602
N26297Z,0.079655412,6.299797291
N26325L,0.079655412,4.09071514
N26357U,-2.183751267,6.8332939
N26390V,-1.052047927,4.674140775
N26412J,0.079655412,6.223782082
N26476A,0.079655412,3.896373693
N26516R,0.079655412,4.802211177
N26534T,0.079655412,5.700763617
N26567C,0.079655412,6.810396439
N26593E,0.079655412,6.639940925
N26621R,0.079655412,4.409155846
N26661Z,0.079655412,6.500059206
N26687K,-1.052047927,5.525407962
N26716X,0.079655412,5.617314622
N26738D,1.211358752,6.750504514
N26783J,2.343062092,6.754510561
N26863H,0.079655412,6.98447124
N26891M,0.079655412,6.269565823
N26921A,-2.183751267,4.317299568
N26990P,0.079655412,6.115849375
N27037K,0.079655412,4.94285401
N27079V,1.211358752,6.420097542
N27138P,-1.052047927,4.527818742
N27181S,0.079655412,5.724332463
N27221H,2.343062092,4.755610272
N27244Q,0.079655412,5.540090845
N27285Z,1.211358752,4.413024398
N27343S,-1.052047927,4.218730225
N27374Z,0.079655412,6.77922045
N27471Z,0.079655412,6.010294405
N27501N,-1.052047927,4.752311833
N27503Q,-1.052047927,4.820038159
N27529A,0.079655412,6.064740288
N27570B,0.079655412,5.597842717
N27602S,1.211358752,5.967464848
N27627B,0.079655412,5.289027752
N27628C,0.079655412,6.053663873
N27654E,0.079655412,5.988846688
N27655F,0.079655412,4.327563565
N27680G,1.211358752,6.057237484
N27681H,0.079655412,7.121057891
N27682J,1.211358752,5.664965725
N27704X,0.079655412,5.618389028
N27708B,0.079655412,6.586631548
N27709C,0.079655412,5.687108328
N27734D,0.079655412,6.076617156
N27779S,-2.183751267,4.214434684
N27788T,1.211358752,7.293840888
N27818G,0.079655412,6.500356597
N27824E,2.343062092,6.038457071
N27858Q,0.079655412,5.015591191
N27859R,-1.052047927,6.110244425
N27875R,2.343062092,6.125699101
