essay_id,mean,std,min,max,count,range
N14013J,8.26,1.0890924887169098,5.7,10.0,50,4.3
N14084Z,8.342,1.0000183671782623,5.6,10.0,50,4.4
N14116Q,8.196,1.1439209334743448,5.0,10.0,50,5.0
N14147X,7.962000000000001,1.060398461880808,6.2,10.0,50,3.8
N14177D,7.324,0.9246201647052652,5.1,9.6,50,4.5
N14209U,7.482,1.0809462974445974,4.8,10.0,50,5.2
N14329B,8.272,1.1433998711326336,5.8,10.0,50,4.2
N14403U,6.89,1.1359164240598776,4.7,9.1,50,4.3999999999999995
N14427C,8.758,1.1567177349584246,6.1,10.0,50,3.9000000000000004
N14454F,8.28,1.020204061220407,5.7,10.0,50,4.3
N14484M,7.49,1.140756998931957,5.4,10.0,50,4.6
N14515B,7.816,0.9904358966162935,6.0,10.0,50,4.0
N14582N,9.31,0.687868639571628,7.7,10.0,50,2.3
N14612B,7.074,1.1540187102787671,4.2,9.4,50,5.2
N14648P,7.676,1.1066699450816124,5.0,9.9,50,4.9
N14679W,7.274,0.9428160164190715,5.6,9.9,50,4.300000000000001
N14712E,7.992000000000001,0.9582807734773389,5.8,10.0,50,4.2
N14742L,8.136000000000001,1.272914059974841,5.7,10.0,50,4.3
N14786Y,9.23,0.8732416735407006,6.8,10.0,50,3.2
N14857W,7.2379999999999995,1.0860694907672854,4.8,10.0,50,5.2
N14883Y,7.186,1.116848700768445,4.3,9.1,50,4.8
N14923P,7.928,1.1283073832162975,5.8,10.0,50,4.2
N14951T,7.95,1.1018074204854198,5.5,10.0,50,4.5
N14976C,7.6579999999999995,0.9205344499090665,5.1,9.4,50,4.300000000000001
N15059C,7.3,1.2806248474865698,4.2,10.0,50,5.8
N15079G,9.334,0.8294601145520218,7.0,10.0,50,3.0
N15108U,7.7379999999999995,1.221723439762578,4.7,10.0,50,5.3
N15127X,8.214,1.0034654239897138,6.5,10.0,50,3.5
N15154A,8.176,1.113288931453987,6.0,10.0,50,4.0
N15207W,6.94,1.1581124685434998,4.5,9.7,50,5.199999999999999
N15247E,8.222000000000001,1.1194550423472729,5.7,10.0,50,4.3
N15276K,7.48,1.2342063466545816,5.1,10.0,50,4.9
N15304W,7.45,1.1569223775842103,4.1,9.6,50,5.5
N15373K,7.497999999999999,1.0342087579894308,5.2,9.6,50,4.3999999999999995
N15414B,7.386,1.1563506988692962,5.0,10.0,50,5.0
N15444H,6.792000000000001,1.137458678325485,3.4,9.3,50,5.9
N15516G,7.188,1.1912332830700616,4.9,10.0,50,5.1
N15538N,7.766,1.046785165959792,5.5,9.8,50,4.300000000000001
N15582S,7.627999999999999,1.126316010319502,5.6,10.0,50,4.4
N15650M,7.556,1.1174241516514118,4.7,10.0,50,5.3
N15689C,7.782,1.1619283760285777,5.2,10.0,50,4.8
N15714L,7.77,1.1364552838738964,5.6,10.0,50,4.4
N15741P,7.8260000000000005,1.2190344121308403,4.0,10.0,50,6.0
N15786C,8.054,1.129603506382949,4.1,9.7,50,5.6
N15801J,8.274,1.047993223221585,6.3,10.0,50,3.7
N15825S,9.052,0.8683176320932804,6.6,10.0,50,3.4000000000000004
N15854X,7.37,0.8352562847560558,5.2,9.2,50,3.999999999999999
N15964C,6.818,1.302695792013858,3.7,10.0,50,6.3
N15993H,6.774,1.0644170580507375,4.2,9.1,50,4.8999999999999995
N16031U,8.517999999999999,1.0308882637050907,6.4,10.0,50,3.5999999999999996
N16061A,7.334,1.2551298818879917,3.9,9.9,50,6.0
N16130W,8.338,0.9760164769435531,6.1,10.0,50,3.9000000000000004
N16196Q,9.006,0.8786376281679795,7.0,10.0,50,3.0
N16230Z,7.528,1.1619898485629145,3.7,10.0,50,6.3
N16268P,8.79,1.1283453661473166,5.2,10.0,50,4.8
N16292P,7.244,1.3389243321961624,3.9,9.9,50,6.0
N16318G,7.66,1.1535216707535059,5.3,10.0,50,4.7
N16358Q,7.752000000000001,1.0033088115971929,5.0,10.0,50,5.0
N16377T,8.874,0.8206045556385206,7.0,10.0,50,3.0
N16405E,6.874,1.2006477843401107,4.5,9.4,50,4.9
N16436M,7.37,1.016446390768408,5.4,9.8,50,4.4
N16468V,9.432,0.8239873191019488,7.2,10.0,50,2.8
N16509M,8.004,1.1640814895383031,5.3,10.0,50,4.7
N16568Y,8.622,1.020462080208205,5.9,10.0,50,4.1
N16623N,7.8260000000000005,1.0728200488166026,5.6,10.0,50,4.4
N16650R,8.066,1.0300802425648443,5.7,10.0,50,4.3
N16680X,8.294,0.7993390126491119,6.8,9.9,50,3.1000000000000005
N16748A,6.51,1.0995824810595436,4.3,9.0,50,4.7
N16788J,7.744,0.9680951209800132,5.9,10.0,50,4.1
N16816V,8.11,0.9992344008064881,6.0,9.8,50,3.8000000000000007
N16841W,7.78,1.0192033703849694,5.0,9.6,50,4.6
N16873E,9.542,0.5942204634507915,8.1,10.0,50,1.9000000000000004
N16904U,8.322000000000001,0.9906275067566299,5.7,10.0,50,4.3
N16945D,7.358,1.0271994818486838,4.7,9.2,50,4.499999999999999
N16977M,7.257999999999999,1.055808037592487,5.2,9.2,50,3.999999999999999
N17015Y,6.934,1.229336970791614,4.3,10.0,50,5.7
N17059L,8.033999999999999,0.9342922673426802,6.0,10.0,50,4.0
N17086P,7.858,1.0548411235434307,5.5,9.6,50,4.1
N17116C,7.476,1.0744832645110327,5.2,9.8,50,4.6000000000000005
N17148L,7.81,1.0593124454771867,5.5,10.0,50,4.5
N17170J,8.726,1.0886820341259296,5.9,10.0,50,4.1
N17209G,7.216,1.1191031394535065,4.3,9.7,50,5.3999999999999995
N17245L,7.0360000000000005,1.1478035812910197,4.0,9.7,50,5.699999999999999
N17263N,8.956,0.8960594003633862,6.9,10.0,50,3.0999999999999996
N17288X,7.303999999999999,0.9122656254778931,5.8,9.3,50,3.500000000000001
N17312E,7.902,1.111074126368585,3.8,9.8,50,6.000000000000001
N17350L,8.224,0.9925354052184964,6.1,10.0,50,3.9000000000000004
N17376W,8.872,0.7748706277798367,7.0,10.0,50,3.0
N17413J,8.55,1.071952252972613,6.0,10.0,50,4.0
N17444R,8.952,0.9069437351762843,6.9,10.0,50,3.0999999999999996
N17491Y,7.65,0.966426195752544,5.3,9.7,50,4.3999999999999995
N17518S,7.49,1.0825612109761757,5.0,9.7,50,4.699999999999999
N17552U,8.148,1.0548701438604486,5.5,10.0,50,4.5
N17578E,8.12,1.0650285039780456,5.3,10.0,50,4.7
N17609U,7.562,1.1358517437031428,4.6,9.5,50,4.9
N17638Z,8.222000000000001,0.8259292849109237,5.6,10.0,50,4.4
N17663A,8.198,1.0223003272931461,5.9,10.0,50,4.1
N17700N,7.606,1.1622304383540878,4.9,10.0,50,5.1
N17723V,7.814,0.7507846235908192,6.1,9.6,50,3.5
N17750Y,8.304,0.9895288509885785,6.3,10.0,50,3.7
N17777K,8.474,1.117360227299603,5.6,10.0,50,4.4
N17809A,7.01,1.1299720061549656,4.7,10.0,50,5.3
N17853E,7.922,1.0610526155951097,5.8,10.0,50,4.2
N17879Q,8.53,1.0846329201294655,5.7,10.0,50,4.3
N17908C,6.84,1.2071217242444345,3.7,9.6,50,5.8999999999999995
N17932C,7.782,1.3238302499233976,4.3,9.9,50,5.6000000000000005
N17967P,6.9479999999999995,0.8154728189016152,5.4,9.0,50,3.5999999999999996
N17995T,9.28,0.7033447785766385,7.4,10.0,50,2.5999999999999996
N18031C,8.18,1.0020387381000102,5.7,10.0,50,4.3
N18071L,8.856,0.9868854326328141,5.6,10.0,50,4.4
N18106E,8.876,0.8807603394284987,6.4,10.0,50,3.5999999999999996
N18150J,9.544,0.6916882629199548,6.8,10.0,50,3.2
N18194W,6.502000000000001,0.9929321657164129,4.8,8.2,50,3.3999999999999995
N18217L,7.71,1.244785040044412,4.1,10.0,50,5.9
N18245Q,7.004,1.0251849011922938,3.8,9.8,50,6.000000000000001
N18275W,9.533999999999999,0.6281199677430668,7.0,10.0,50,3.0
N18308N,9.517999999999999,0.6005745548375884,7.5,10.0,50,2.5
N18352S,7.537999999999999,1.049954323593485,5.0,9.5,50,4.5
N18384A,6.843999999999999,1.0842395999981191,3.5,8.8,50,5.300000000000001
N18406P,9.198,0.7697044224630543,6.9,10.0,50,3.0999999999999996
N18436V,8.526,1.114617166820711,5.1,10.0,50,4.9
N18468D,8.107999999999999,0.9661283981089951,6.0,10.0,50,4.0
N18497J,7.814,1.2142033585517578,4.4,10.0,50,5.6
N18527X,7.944,1.2345634608133802,5.3,10.0,50,4.7
N18562A,9.192,0.9582807734773389,6.0,10.0,50,4.0
N18585H,7.9879999999999995,1.1834987907704437,5.4,10.0,50,4.6
N18618Z,7.4,1.0002040608122456,4.9,9.5,50,4.6
N18673G,8.238,0.8866101460170687,5.9,10.0,50,4.1
N18707Z,7.42,1.1623340346747422,4.2,10.0,50,5.8
N18744E,7.296,1.3332421737544724,4.1,10.0,50,5.9
N18773K,6.8020000000000005,1.0078244907133544,4.4,9.4,50,5.0
N18811Y,7.56,0.9775020225460571,5.1,9.2,50,4.1
N18900Y,9.328,0.6954781059949823,7.7,10.0,50,2.3
N18958S,8.964,0.921790626543617,6.9,10.0,50,3.0999999999999996
N18986W,9.078,0.8912934879334937,6.7,10.0,50,3.3
N19045N,7.672000000000001,1.1170368966920605,5.5,10.0,50,4.5
N19086X,8.006,1.0725536949595706,5.4,10.0,50,4.6
N19109M,8.54,0.9878858068354555,5.3,10.0,50,4.7
N19132L,8.024,1.054351527175421,5.7,10.0,50,4.3
N19167X,8.326,0.9843282180331548,6.4,10.0,50,3.5999999999999996
N19199F,8.177999999999999,0.8406241607233499,6.7,10.0,50,3.3
N19227S,7.17,1.0725232503069477,5.5,10.0,50,4.5
N19260T,8.017999999999999,1.1116617456468914,5.3,10.0,50,4.7
N19290Z,7.672000000000001,0.9714369747535693,5.0,9.4,50,4.4
N19309T,9.142000000000001,0.8446929160641633,7.0,10.0,50,3.0
N19359D,7.982,1.220854501685485,4.9,10.0,50,5.1
N19415U,8.097999999999999,0.991286527494365,6.4,10.0,50,3.5999999999999996
N19468H,7.497999999999999,1.0403080391530821,5.2,9.6,50,4.3999999999999995
N19494K,8.604,1.0866462165764899,5.9,10.0,50,4.1
N19512U,7.226,1.1453205593516034,4.8,9.4,50,4.6000000000000005
N19534A,7.642,1.146261002439796,5.1,10.0,50,4.9
N19565H,8.857999999999999,0.8310529342898902,7.4,10.0,50,2.5999999999999996
N19587P,8.462,0.979147901108355,5.9,10.0,50,4.1
N19624B,8.056000000000001,1.1330219660316407,6.1,10.0,50,3.9000000000000004
N19645G,8.174,1.1994573603024297,5.7,10.0,50,4.3
N19671J,8.474,0.8604246697096136,6.3,10.0,50,3.7
N19782Q,8.872,0.9319805551094082,6.5,10.0,50,3.5
N19810B,9.464,0.6545788488698326,7.2,10.0,50,2.8
N19826K,7.068,1.1287413976890999,4.0,10.0,50,6.0
N19879Y,7.394,0.9318425898427789,5.1,9.7,50,4.6
N19898B,8.85,1.0604677443160135,5.3,10.0,50,4.7
N19933M,6.922000000000001,1.1662411274461804,3.1,9.0,50,5.9
N19997D,8.894,1.0190852240502508,6.7,10.0,50,3.3
N20029F,7.942,1.0945299988430408,5.2,10.0,50,4.8
N20066L,8.77,1.0629665842272153,6.3,10.0,50,3.7
N20094Q,8.57,1.0037175795968887,5.1,10.0,50,4.9
N20121A,8.478,0.9930965795563542,6.2,10.0,50,3.8
N20162K,7.7379999999999995,0.993219872075521,5.1,9.8,50,4.700000000000001
N20188V,7.188,1.4337961600490592,4.1,10.0,50,5.9
N20208G,8.033999999999999,0.8688744772076441,6.4,10.0,50,3.5999999999999996
N20244L,7.53,1.1113973554191379,5.5,10.0,50,4.5
N20274S,7.222,0.9825601710816078,5.7,9.8,50,4.1000000000000005
N20295X,8.414,1.2025500116885972,5.7,10.0,50,4.3
N20332K,8.252,1.083689841914829,6.0,10.0,50,4.0
N20357U,8.716000000000001,0.9440166031054624,6.4,10.0,50,3.5999999999999996
N20398D,9.308,0.82754616370401,7.1,10.0,50,2.9000000000000004
N20420J,7.75,1.1258103657329848,4.9,9.9,50,5.0
N20455V,8.392000000000001,0.9757969009157258,6.8,10.0,50,3.2
N20479D,7.707999999999999,1.0460499071092473,5.8,10.0,50,4.2
N20499H,6.822,1.1190903740565918,4.5,9.5,50,5.0
N20521N,8.626,0.8808182652094189,6.8,10.0,50,3.2
N20545W,7.6579999999999995,1.1277736782651715,4.4,9.7,50,5.299999999999999
N20576D,8.158,1.2731272761293309,5.5,10.0,50,4.5
N20608U,5.806,1.2550973618628565,2.3,8.3,50,6.000000000000001
N20627X,7.556,1.1832435531717251,4.5,10.0,50,5.5
N20652Y,7.837999999999999,1.0137604273602479,5.3,10.0,50,4.7
N20704T,7.827999999999999,0.9948930821439852,4.7,9.7,50,4.999999999999999
N20729C,6.422000000000001,0.8963167260903859,4.4,8.1,50,3.6999999999999993
N20758H,7.226,1.1633537023342015,4.7,10.0,50,5.3
N20783J,8.846,0.8579068024165869,6.5,10.0,50,3.5
N20809B,7.694,0.9790478506577455,5.9,9.7,50,3.799999999999999
N20842C,7.812,1.158401431953112,5.3,10.0,50,4.7
N20905A,7.318,1.0279144727385185,5.5,9.7,50,4.199999999999999
N20927G,8.226,1.1893764444155648,4.4,10.0,50,5.6
N20953J,7.207999999999999,1.0115334893121435,4.9,9.9,50,5.0
N20975Q,7.438,1.189218573823387,4.3,9.6,50,5.3
N21010Y,7.537999999999999,1.206088296764311,4.4,10.0,50,5.6
N21060J,9.136000000000001,0.8220829691480449,6.9,10.0,50,3.0999999999999996
N21122F,7.806,0.9706740767452823,5.5,9.7,50,4.199999999999999
N21163Q,8.004,1.106005867792679,5.7,10.0,50,4.3
N21192V,6.892,1.089249882314636,4.3,9.0,50,4.7
N21207K,7.482,1.4434496661731957,3.9,10.0,50,6.1
N21273V,8.304,1.085330759327707,4.8,10.0,50,5.2
N21306M,6.994,0.9554163533053351,4.8,9.7,50,4.8999999999999995
N21339W,6.73,1.2056415008498291,3.7,8.6,50,4.8999999999999995
N21361U,6.572,1.0063147558070995,4.1,9.0,50,4.9
N21391A,8.64,1.0755160128410688,6.6,10.0,50,3.4000000000000004
N21424S,7.52,1.1832159566199232,5.5,9.9,50,4.4
N21449B,8.19,0.957729031594628,6.4,10.0,50,3.5999999999999996
N21485F,8.388,0.9832557331308542,6.1,10.0,50,3.9000000000000004
N21515U,9.048,0.8678474426265653,7.0,10.0,50,3.0
N21557E,7.25,1.1402201720792027,4.9,10.0,50,5.1
N21585J,9.472000000000001,0.655289311398143,7.4,10.0,50,2.5999999999999996
N21610S,7.426,1.0009811513241007,4.5,9.6,50,5.1
N21645D,8.254,1.1583256741292316,5.2,10.0,50,4.8
N21672G,7.996,1.0873971919502206,5.5,10.0,50,4.5
N21700T,8.042,1.0976951734782983,5.1,10.0,50,4.9
N21731A,8.374,1.0613449303711253,6.1,10.0,50,3.9000000000000004
N21769Q,9.252,0.9363934285658055,6.3,10.0,50,3.7
N21796T,7.568,1.0448005375502574,5.6,10.0,50,4.4
N21815D,7.148,1.1482444452826448,4.7,9.7,50,4.999999999999999
N21854L,7.3,1.3158375931050805,4.5,10.0,50,5.5
N21869T,9.628,0.5439987995184835,8.2,10.0,50,1.8000000000000007
N21904D,8.652000000000001,0.8834625755791694,6.8,10.0,50,3.2
N21935L,8.384,0.9143660678975623,6.4,10.0,50,3.5999999999999996
N21956R,9.42,0.6764251772429557,7.5,10.0,50,2.5
N21991U,6.856,1.160253315057553,4.4,9.2,50,4.799999999999999
N22015H,7.472,1.1455397088227872,4.9,10.0,50,5.1
N22038Q,7.542000000000001,0.9138592755507842,5.6,10.0,50,4.4
N22067V,8.698,1.0674191648407798,5.2,10.0,50,4.8
N22089B,8.006,0.6720088677743377,6.3,9.3,50,3.000000000000001
N22113J,7.992000000000001,1.1030273739826686,5.0,10.0,50,5.0
N22139U,7.614,1.1854578035854468,4.8,10.0,50,5.2
N22165W,8.812000000000001,0.9900814231616485,6.2,10.0,50,3.8
N22195C,8.146,1.0612295525781905,6.1,10.0,50,3.9000000000000004
N22225R,8.07,0.9788060198475467,6.1,10.0,50,3.9000000000000004
N22254W,7.38,1.1637378202523598,5.0,10.0,50,5.0
N22285D,6.867999999999999,1.2176323630014814,4.5,10.0,50,5.5
N22305Q,7.474,1.1220989806826223,4.8,10.0,50,5.2
N22340T,8.51,0.9302731659385355,6.6,10.0,50,3.4000000000000004
N22359E,8.182,0.9966658703612044,5.6,10.0,50,4.4
N22389L,8.548,1.0302050519093722,6.1,10.0,50,3.9000000000000004
N22412S,8.328,1.116671438714547,5.4,10.0,50,4.6
N22448E,8.266,1.0647621177272126,6.0,10.0,50,4.0
N22474G,8.222000000000001,1.201748725815842,5.0,10.0,50,5.0
N22503U,7.457999999999999,1.071350473344131,5.4,9.9,50,4.5
N22540Z,7.334,0.9696643644023621,4.7,9.0,50,4.3
N22562F,6.682,1.172941531677813,3.7,8.7,50,4.999999999999999
N22587Q,7.482,1.0183399857270716,5.4,9.8,50,4.4
N22603X,8.906,0.9986541964472151,6.8,10.0,50,3.2
N22627F,8.011999999999999,1.0801813906630189,5.7,10.0,50,4.3
N22668Q,8.032,0.8157730776911644,6.0,9.6,50,3.5999999999999996
N22690N,8.456,1.1553177847127034,4.9,10.0,50,5.1
N22727J,8.606,0.9782136989514747,6.5,10.0,50,3.5
N22744K,9.52,0.7556589231678967,6.3,10.0,50,3.7
N22801B,7.62,1.1724734016390392,5.0,10.0,50,5.0
N22834L,8.038,1.0407787508223183,5.9,10.0,50,4.1
N22859V,6.754,1.0999461953446001,4.5,9.7,50,5.199999999999999
N22891V,7.434,1.1459974712370147,4.7,10.0,50,5.3
N22963U,7.9479999999999995,1.0546766599972037,5.6,10.0,50,4.4
N22978B,8.042,1.0032782998444525,5.8,10.0,50,4.2
N23016N,6.99,1.1156127628952142,4.9,9.7,50,4.799999999999999
N23091Z,8.08,1.0257898897723567,5.2,10.0,50,4.8
N23115Q,8.716000000000001,0.8681107801027541,6.9,10.0,50,3.0999999999999996
N23134T,8.052,1.258317632915522,5.7,10.0,50,4.3
N23173A,7.308,1.001802457206662,5.4,9.5,50,4.1
N23197J,7.462000000000001,1.1837143201958547,5.0,10.0,50,5.0
N23219X,6.794,1.1925636935884416,4.7,10.0,50,5.3
N23255B,9.204,0.7663749814841937,7.0,10.0,50,3.0
N23271B,7.77,0.9649468632933066,6.1,9.6,50,3.5
N23307W,7.57,1.0887645123098504,4.9,10.0,50,5.1
N23336B,7.617999999999999,1.0745079557354498,5.0,10.0,50,5.0
N23362D,7.906000000000001,1.0729341802282382,6.0,10.0,50,4.0
N23397Q,7.513999999999999,1.2013614725614856,4.9,10.0,50,5.1
N23440A,7.736000000000001,1.0346566027983806,5.1,10.0,50,4.9
N23456J,9.1,0.8278321825400237,6.5,10.0,50,3.5
N23483M,9.476,0.6215714121548412,8.0,10.0,50,2.0
N23516D,7.992000000000001,1.184739702747108,4.7,10.0,50,5.3
N23578T,8.038,0.9682489981657502,6.0,10.0,50,4.0
N23638N,8.842,0.9916158736205902,5.4,10.0,50,4.6
N23662N,7.376,1.1121885025957254,4.8,9.5,50,4.7
N23689Z,7.794,1.0516090683581334,5.1,10.0,50,4.9
N23714H,8.064,0.9741055551905355,5.9,10.0,50,4.1
N23779A,7.436,1.1313275568182393,3.4,9.9,50,6.5
N23795A,7.454,1.0116081357957551,5.5,10.0,50,4.5
N23822L,8.033999999999999,0.9982862866953954,5.2,10.0,50,4.8
N23844S,8.138,1.070359466606944,5.3,10.0,50,4.7
N23887D,9.32,0.9467452300446222,5.2,10.0,50,4.8
N23918T,8.17,1.118535850556249,5.6,10.0,50,4.4
N23936V,7.414,1.1757776410633474,4.3,9.7,50,5.3999999999999995
N23962X,7.99,1.2108775701101733,5.2,10.0,50,4.8
N23998K,8.308,1.2419274026566078,4.5,10.0,50,5.5
N24030Q,8.92,0.9758303633107467,6.1,10.0,50,3.9000000000000004
N24036W,8.244,0.9585618479401996,5.7,10.0,50,4.3
N24123U,8.8,0.9764575708934319,5.6,10.0,50,4.4
N24155C,7.55,1.0829381801565667,5.3,10.0,50,4.7
N24178K,7.774,1.1767839258603363,5.0,10.0,50,5.0
N24221V,7.87,1.2196101752575845,4.5,10.0,50,5.5
N24242A,8.312000000000001,0.9840856110094885,6.4,10.0,50,3.5999999999999996
