essay_id,mean,std,min,max,count,range,id,criterion,judgement
N13254V,8.892000000000001,1.0074903149380037,6.7,10.0,50,3.3,N13254V,0.079655412,6.72198097
N13285C,7.457999999999999,1.0798885052048055,5.0,9.4,50,4.4,N13285C,2.343062092,5.530839425
N13354Y,7.584,0.9738122016495955,5.2,9.9,50,4.7,N13354Y,-2.183751267,5.742651966
N13374C,7.03,0.9986214988468777,4.6,9.1,50,4.5,N13374C,0.079655412,3.132521416
N13400M,7.696000000000001,1.2858666576377544,4.7,9.8,50,5.1000000000000005,N13400M,1.211358752,5.834920905
N13422T,6.888,0.8920602157766192,5.1,8.7,50,3.5999999999999996,N13422T,0.079655412,5.519110723
N13472D,7.3420000000000005,1.024214980622043,3.8,9.9,50,6.1000000000000005,N13472D,0.079655412,4.762131255
N13540Y,7.808,1.1712264634012626,4.6,10.0,50,5.4,N13540Y,0.079655412,6.298727678
N13567K,8.544,0.9485025792569799,6.3,10.0,50,3.7,N13567K,0.079655412,5.90849691
N13605Y,7.593999999999999,1.1422158915271416,5.0,10.0,50,5.0,N13605Y,0.079655412,4.403602502
N13638H,9.612,0.5798099618295077,7.6,10.0,50,2.4000000000000004,N13638H,0.079655412,5.350296182
N13671J,9.592,0.6651192926606383,7.6,10.0,50,2.4000000000000004,N13671J,0.079655412,4.773069443
N13709F,7.531999999999999,1.2456356462727396,4.8,10.0,50,5.2,N13709F,0.079655412,4.82537841
N13734G,9.336,0.6817624219623725,7.6,10.0,50,2.4000000000000004,N13734G,1.211358752,6.075827348
N13768S,7.3260000000000005,0.8627932805127536,5.5,10.0,50,4.5,N13768S,0.079655412,5.415073686
N13798Y,8.072000000000001,1.0386490440638232,6.0,10.0,50,4.0,N13798Y,1.211358752,6.201557458
N13834K,7.667999999999999,1.0516148903239344,5.7,10.0,50,4.3,N13834K,0.079655412,5.203958374
N13869W,7.654,1.1272523937360588,5.8,10.0,50,4.2,N13869W,1.211358752,3.621348971
N13899C,6.812,0.8975340366463966,4.7,8.9,50,4.2,N13899C,0.079655412,5.79689225
N13927P,7.096,1.1799273585388939,4.8,10.0,50,5.2,N13927P,0.079655412,5.88219524
N13955T,7.73,0.909866552224634,5.8,9.9,50,4.1000000000000005,N13955T,0.079655412,5.583626826
N13983X,7.744,1.0934237560086582,5.1,10.0,50,4.9,N13983X,0.079655412,3.995681525
N14013J,8.26,1.0890924887169098,5.7,10.0,50,4.3,N14013J,0.079655412,4.577621021
N14084Z,8.342,1.0000183671782623,5.6,10.0,50,4.4,N14084Z,0.079655412,3.968559376
N14116Q,8.196,1.1439209334743448,5.0,10.0,50,5.0,N14116Q,0.079655412,5.003193936
N14147X,7.962000000000001,1.060398461880808,6.2,10.0,50,3.8,N14147X,1.211358752,5.729024907
N14177D,7.324,0.9246201647052652,5.1,9.6,50,4.5,N14177D,0.079655412,6.205803232
N14209U,7.482,1.0809462974445974,4.8,10.0,50,5.2,N14209U,0.079655412,5.057919169
N14329B,8.272,1.1433998711326336,5.8,10.0,50,4.2,N14329B,2.343062092,6.155279701
N14403U,6.89,1.1359164240598776,4.7,9.1,50,4.3999999999999995,N14403U,0.079655412,6.022531769
N14427C,8.758,1.1567177349584246,6.1,10.0,50,3.9000000000000004,N14427C,0.079655412,5.594547789
N14454F,8.28,1.020204061220407,5.7,10.0,50,4.3,N14454F,0.079655412,4.74142826
N14484M,7.49,1.140756998931957,5.4,10.0,50,4.6,N14484M,0.079655412,4.736154938
N14515B,7.816,0.9904358966162935,6.0,10.0,50,4.0,N14515B,0.079655412,4.730431289
N14582N,9.31,0.687868639571628,7.7,10.0,50,2.3,N14582N,1.211358752,5.735478524
N14612B,7.074,1.1540187102787671,4.2,9.4,50,5.2,N14612B,-1.052047927,4.088427223
N14648P,7.676,1.1066699450816124,5.0,9.9,50,4.9,N14648P,0.079655412,6.316557749
N14679W,7.274,0.9428160164190715,5.6,9.9,50,4.300000000000001,N14679W,0.079655412,4.852269837
N14712E,7.992000000000001,0.9582807734773389,5.8,10.0,50,4.2,N14712E,0.079655412,5.862418014
N14742L,8.136000000000001,1.272914059974841,5.7,10.0,50,4.3,N14742L,-1.052047927,6.464898481
N14786Y,9.23,0.8732416735407006,6.8,10.0,50,3.2,N14786Y,0.079655412,6.294496693
N14857W,7.2379999999999995,1.0860694907672854,4.8,10.0,50,5.2,N14857W,0.079655412,5.174922148
N14883Y,7.186,1.116848700768445,4.3,9.1,50,4.8,N14883Y,0.079655412,5.198882194
N14923P,7.928,1.1283073832162975,5.8,10.0,50,4.2,N14923P,-1.052047927,5.51126749
N14951T,7.95,1.1018074204854198,5.5,10.0,50,4.5,N14951T,0.079655412,6.543857626
N14976C,7.6579999999999995,0.9205344499090665,5.1,9.4,50,4.300000000000001,N14976C,0.079655412,6.198777419
N15059C,7.3,1.2806248474865698,4.2,10.0,50,5.8,N15059C,0.079655412,3.250395098
N15079G,9.334,0.8294601145520218,7.0,10.0,50,3.0,N15079G,0.079655412,5.696378865
N15108U,7.7379999999999995,1.221723439762578,4.7,10.0,50,5.3,N15108U,0.079655412,5.064912022
N15127X,8.214,1.0034654239897138,6.5,10.0,50,3.5,N15127X,2.343062092,7.446613584
N15154A,8.176,1.113288931453987,6.0,10.0,50,4.0,N15154A,0.079655412,5.788571489
N15207W,6.94,1.1581124685434998,4.5,9.7,50,5.199999999999999,N15207W,0.079655412,3.850931508
N15247E,8.222000000000001,1.1194550423472729,5.7,10.0,50,4.3,N15247E,0.079655412,6.700702091
N15276K,7.48,1.2342063466545816,5.1,10.0,50,4.9,N15276K,0.079655412,5.290978742
N15304W,7.45,1.1569223775842103,4.1,9.6,50,5.5,N15304W,0.079655412,6.345185796
N15373K,7.497999999999999,1.0342087579894308,5.2,9.6,50,4.3999999999999995,N15373K,0.079655412,4.839129511
N15414B,7.386,1.1563506988692962,5.0,10.0,50,5.0,N15414B,0.079655412,5.287433231
N15444H,6.792000000000001,1.137458678325485,3.4,9.3,50,5.9,N15444H,-2.183751267,4.926935238
N15516G,7.188,1.1912332830700616,4.9,10.0,50,5.1,N15516G,0.079655412,3.996902009
N15538N,7.766,1.046785165959792,5.5,9.8,50,4.300000000000001,N15538N,1.211358752,6.238964468
N15582S,7.627999999999999,1.126316010319502,5.6,10.0,50,4.4,N15582S,2.343062092,6.507665409
N15650M,7.556,1.1174241516514118,4.7,10.0,50,5.3,N15650M,1.211358752,5.645909901
N15689C,7.782,1.1619283760285777,5.2,10.0,50,4.8,N15689C,0.079655412,6.173738859
N15714L,7.77,1.1364552838738964,5.6,10.0,50,4.4,N15714L,0.079655412,4.733334164
N15741P,7.8260000000000005,1.2190344121308403,4.0,10.0,50,6.0,N15741P,0.079655412,5.554773429
N15786C,8.054,1.129603506382949,4.1,9.7,50,5.6,N15786C,0.079655412,3.210767926
N15801J,8.274,1.047993223221585,6.3,10.0,50,3.7,N15801J,0.079655412,6.247587283
N15825S,9.052,0.8683176320932804,6.6,10.0,50,3.4000000000000004,N15825S,1.211358752,5.813990757
N15854X,7.37,0.8352562847560558,5.2,9.2,50,3.999999999999999,N15854X,0.079655412,6.122865832
N15964C,6.818,1.302695792013858,3.7,10.0,50,6.3,N15964C,0.079655412,4.965420557
N15993H,6.774,1.0644170580507375,4.2,9.1,50,4.8999999999999995,N15993H,1.211358752,6.165314942
N16031U,8.517999999999999,1.0308882637050907,6.4,10.0,50,3.5999999999999996,N16031U,0.079655412,5.645885906
N16061A,7.334,1.2551298818879917,3.9,9.9,50,6.0,N16061A,1.211358752,6.737344673
N16130W,8.338,0.9760164769435531,6.1,10.0,50,3.9000000000000004,N16130W,0.079655412,4.879853513
N16196Q,9.006,0.8786376281679795,7.0,10.0,50,3.0,N16196Q,0.079655412,5.218835446
N16230Z,7.528,1.1619898485629145,3.7,10.0,50,6.3,N16230Z,0.079655412,5.59371072
N16268P,8.79,1.1283453661473166,5.2,10.0,50,4.8,N16268P,-1.052047927,7.216728587
N16292P,7.244,1.3389243321961624,3.9,9.9,50,6.0,N16292P,1.211358752,5.049694241
N16318G,7.66,1.1535216707535059,5.3,10.0,50,4.7,N16318G,1.211358752,6.57398441
N16358Q,7.752000000000001,1.0033088115971929,5.0,10.0,50,5.0,N16358Q,0.079655412,5.057641506
N16377T,8.874,0.8206045556385206,7.0,10.0,50,3.0,N16377T,0.079655412,5.627829861
N16405E,6.874,1.2006477843401107,4.5,9.4,50,4.9,N16405E,0.079655412,4.646173289
N16436M,7.37,1.016446390768408,5.4,9.8,50,4.4,N16436M,2.343062092,5.764886473
N16468V,9.432,0.8239873191019488,7.2,10.0,50,2.8,N16468V,-1.052047927,5.958703491
N16509M,8.004,1.1640814895383031,5.3,10.0,50,4.7,N16509M,0.079655412,5.17610515
N16568Y,8.622,1.020462080208205,5.9,10.0,50,4.1,N16568Y,2.343062092,6.09326022
N16623N,7.8260000000000005,1.0728200488166026,5.6,10.0,50,4.4,N16623N,0.079655412,4.326922743
N16650R,8.066,1.0300802425648443,5.7,10.0,50,4.3,N16650R,0.079655412,6.523763499
N16680X,8.294,0.7993390126491119,6.8,9.9,50,3.1000000000000005,N16680X,-1.052047927,5.980325393
N16748A,6.51,1.0995824810595436,4.3,9.0,50,4.7,N16748A,-1.052047927,6.125932837
N16788J,7.744,0.9680951209800132,5.9,10.0,50,4.1,N16788J,0.079655412,4.831903701
N16816V,8.11,0.9992344008064881,6.0,9.8,50,3.8000000000000007,N16816V,0.079655412,5.536453101
N16841W,7.78,1.0192033703849694,5.0,9.6,50,4.6,N16841W,0.079655412,4.832175814
N16873E,9.542,0.5942204634507915,8.1,10.0,50,1.9000000000000004,N16873E,-1.052047927,6.146679336
N16904U,8.322000000000001,0.9906275067566299,5.7,10.0,50,4.3,N16904U,0.079655412,4.807889558
N16945D,7.358,1.0271994818486838,4.7,9.2,50,4.499999999999999,N16945D,0.079655412,5.768850686
N16977M,7.257999999999999,1.055808037592487,5.2,9.2,50,3.999999999999999,N16977M,-2.183751267,5.086198193
N17015Y,6.934,1.229336970791614,4.3,10.0,50,5.7,N17015Y,0.079655412,4.860861966
N17059L,8.033999999999999,0.9342922673426802,6.0,10.0,50,4.0,N17059L,0.079655412,5.626029264
N17086P,7.858,1.0548411235434307,5.5,9.6,50,4.1,N17086P,-2.183751267,6.217672651
N17116C,7.476,1.0744832645110327,5.2,9.8,50,4.6000000000000005,N17116C,0.079655412,4.99235718
N17148L,7.81,1.0593124454771867,5.5,10.0,50,4.5,N17148L,0.079655412,6.497351841
N17170J,8.726,1.0886820341259296,5.9,10.0,50,4.1,N17170J,-2.183751267,4.648923848
N17209G,7.216,1.1191031394535065,4.3,9.7,50,5.3999999999999995,N17209G,-1.052047927,5.669483741
N17245L,7.0360000000000005,1.1478035812910197,4.0,9.7,50,5.699999999999999,N17245L,0.079655412,6.059801424
N17263N,8.956,0.8960594003633862,6.9,10.0,50,3.0999999999999996,N17263N,1.211358752,6.666911549
N17288X,7.303999999999999,0.9122656254778931,5.8,9.3,50,3.500000000000001,N17288X,1.211358752,6.614447861
N17312E,7.902,1.111074126368585,3.8,9.8,50,6.000000000000001,N17312E,-1.052047927,6.050081633
N17350L,8.224,0.9925354052184964,6.1,10.0,50,3.9000000000000004,N17350L,-1.052047927,6.019071041
N17376W,8.872,0.7748706277798367,7.0,10.0,50,3.0,N17376W,0.079655412,4.919271006
N17413J,8.55,1.071952252972613,6.0,10.0,50,4.0,N17413J,2.343062092,6.895653569
N17444R,8.952,0.9069437351762843,6.9,10.0,50,3.0999999999999996,N17444R,-1.052047927,6.068947906
N17491Y,7.65,0.966426195752544,5.3,9.7,50,4.3999999999999995,N17491Y,1.211358752,4.840100979
N17518S,7.49,1.0825612109761757,5.0,9.7,50,4.699999999999999,N17518S,0.079655412,5.577701208
N17552U,8.148,1.0548701438604486,5.5,10.0,50,4.5,N17552U,0.079655412,6.799019846
N17578E,8.12,1.0650285039780456,5.3,10.0,50,4.7,N17578E,0.079655412,5.932467461
N17609U,7.562,1.1358517437031428,4.6,9.5,50,4.9,N17609U,2.343062092,6.545002102
N17638Z,8.222000000000001,0.8259292849109237,5.6,10.0,50,4.4,N17638Z,0.079655412,5.94042085
N17663A,8.198,1.0223003272931461,5.9,10.0,50,4.1,N17663A,0.079655412,5.401329084
N17700N,7.606,1.1622304383540878,4.9,10.0,50,5.1,N17700N,0.079655412,4.963663144
N17723V,7.814,0.7507846235908192,6.1,9.6,50,3.5,N17723V,0.079655412,6.091599092
N17750Y,8.304,0.9895288509885785,6.3,10.0,50,3.7,N17750Y,0.079655412,6.553275492
N17777K,8.474,1.117360227299603,5.6,10.0,50,4.4,N17777K,0.079655412,5.211714054
N17809A,7.01,1.1299720061549656,4.7,10.0,50,5.3,N17809A,0.079655412,4.847454163
N17853E,7.922,1.0610526155951097,5.8,10.0,50,4.2,N17853E,0.079655412,5.390522968
N17879Q,8.53,1.0846329201294655,5.7,10.0,50,4.3,N17879Q,0.079655412,6.161978116
N17908C,6.84,1.2071217242444345,3.7,9.6,50,5.8999999999999995,N17908C,0.079655412,4.641173352
N17932C,7.782,1.3238302499233976,4.3,9.9,50,5.6000000000000005,N17932C,1.211358752,5.261569092
N17967P,6.9479999999999995,0.8154728189016152,5.4,9.0,50,3.5999999999999996,N17967P,0.079655412,4.793908137
N17995T,9.28,0.7033447785766385,7.4,10.0,50,2.5999999999999996,N17995T,0.079655412,5.781846786
N18031C,8.18,1.0020387381000102,5.7,10.0,50,4.3,N18031C,0.079655412,7.315432747
N18071L,8.856,0.9868854326328141,5.6,10.0,50,4.4,N18071L,2.343062092,5.096491154
N18106E,8.876,0.8807603394284987,6.4,10.0,50,3.5999999999999996,N18106E,0.079655412,5.285254941
N18150J,9.544,0.6916882629199548,6.8,10.0,50,3.2,N18150J,0.079655412,5.895604829
N18194W,6.502000000000001,0.9929321657164129,4.8,8.2,50,3.3999999999999995,N18194W,0.079655412,5.315258347
N18217L,7.71,1.244785040044412,4.1,10.0,50,5.9,N18217L,1.211358752,5.832683968
N18245Q,7.004,1.0251849011922938,3.8,9.8,50,6.000000000000001,N18245Q,0.079655412,3.816984721
N18275W,9.533999999999999,0.6281199677430668,7.0,10.0,50,3.0,N18275W,1.211358752,6.767035858
N18308N,9.517999999999999,0.6005745548375884,7.5,10.0,50,2.5,N18308N,0.079655412,6.149015798
N18352S,7.537999999999999,1.049954323593485,5.0,9.5,50,4.5,N18352S,0.079655412,5.249693137
N18384A,6.843999999999999,1.0842395999981191,3.5,8.8,50,5.300000000000001,N18384A,0.079655412,5.039157707
N18406P,9.198,0.7697044224630543,6.9,10.0,50,3.0999999999999996,N18406P,1.211358752,6.166342528
N18436V,8.526,1.114617166820711,5.1,10.0,50,4.9,N18436V,0.079655412,5.101054628
N18468D,8.107999999999999,0.9661283981089951,6.0,10.0,50,4.0,N18468D,1.211358752,4.514414046
N18497J,7.814,1.2142033585517578,4.4,10.0,50,5.6,N18497J,2.343062092,6.104023186
N18527X,7.944,1.2345634608133802,5.3,10.0,50,4.7,N18527X,0.079655412,6.046395872
N18562A,9.192,0.9582807734773389,6.0,10.0,50,4.0,N18562A,0.079655412,5.611588463
N18585H,7.9879999999999995,1.1834987907704437,5.4,10.0,50,4.6,N18585H,-2.183751267,3.706603842
N18618Z,7.4,1.0002040608122456,4.9,9.5,50,4.6,N18618Z,0.079655412,5.229146232
N18673G,8.238,0.8866101460170687,5.9,10.0,50,4.1,N18673G,-2.183751267,5.019400244
N18707Z,7.42,1.1623340346747422,4.2,10.0,50,5.8,N18707Z,0.079655412,5.969057426
N18744E,7.296,1.3332421737544724,4.1,10.0,50,5.9,N18744E,0.079655412,4.489600889
N18773K,6.8020000000000005,1.0078244907133544,4.4,9.4,50,5.0,N18773K,1.211358752,6.398307717
N18811Y,7.56,0.9775020225460571,5.1,9.2,50,4.1,N18811Y,1.211358752,6.44983117
N18900Y,9.328,0.6954781059949823,7.7,10.0,50,2.3,N18900Y,1.211358752,6.617415145
N18958S,8.964,0.921790626543617,6.9,10.0,50,3.0999999999999996,N18958S,-1.052047927,5.929251165
N18986W,9.078,0.8912934879334937,6.7,10.0,50,3.3,N18986W,0.079655412,6.591058448
N19045N,7.672000000000001,1.1170368966920605,5.5,10.0,50,4.5,N19045N,0.079655412,5.864949211
N19086X,8.006,1.0725536949595706,5.4,10.0,50,4.6,N19086X,0.079655412,4.601830406
N19109M,8.54,0.9878858068354555,5.3,10.0,50,4.7,N19109M,1.211358752,6.443975055
N19132L,8.024,1.054351527175421,5.7,10.0,50,4.3,N19132L,1.211358752,6.295191175
N19167X,8.326,0.9843282180331548,6.4,10.0,50,3.5999999999999996,N19167X,-1.052047927,6.286176818
N19199F,8.177999999999999,0.8406241607233499,6.7,10.0,50,3.3,N19199F,0.079655412,5.609089196
N19227S,7.17,1.0725232503069477,5.5,10.0,50,4.5,N19227S,0.079655412,3.983619803
N19260T,8.017999999999999,1.1116617456468914,5.3,10.0,50,4.7,N19260T,2.343062092,6.49031464
N19290Z,7.672000000000001,0.9714369747535693,5.0,9.4,50,4.4,N19290Z,0.079655412,4.51245121
N19309T,9.142000000000001,0.8446929160641633,7.0,10.0,50,3.0,N19309T,-1.052047927,5.306117868
N19359D,7.982,1.220854501685485,4.9,10.0,50,5.1,N19359D,1.211358752,6.864053102
N19415U,8.097999999999999,0.991286527494365,6.4,10.0,50,3.5999999999999996,N19415U,1.211358752,5.921901783
N19468H,7.497999999999999,1.0403080391530821,5.2,9.6,50,4.3999999999999995,N19468H,0.079655412,5.205684691
N19494K,8.604,1.0866462165764899,5.9,10.0,50,4.1,N19494K,-2.183751267,4.217632514
N19512U,7.226,1.1453205593516034,4.8,9.4,50,4.6000000000000005,N19512U,0.079655412,5.95555231
N19534A,7.642,1.146261002439796,5.1,10.0,50,4.9,N19534A,0.079655412,6.462481594
N19565H,8.857999999999999,0.8310529342898902,7.4,10.0,50,2.5999999999999996,N19565H,0.079655412,5.106576199
N19587P,8.462,0.979147901108355,5.9,10.0,50,4.1,N19587P,-2.183751267,5.162829056
N19624B,8.056000000000001,1.1330219660316407,6.1,10.0,50,3.9000000000000004,N19624B,0.079655412,6.848605554
N19645G,8.174,1.1994573603024297,5.7,10.0,50,4.3,N19645G,0.079655412,6.071587741
N19671J,8.474,0.8604246697096136,6.3,10.0,50,3.7,N19671J,1.211358752,7.01764603
N19782Q,8.872,0.9319805551094082,6.5,10.0,50,3.5,N19782Q,0.079655412,6.229364546
N19810B,9.464,0.6545788488698326,7.2,10.0,50,2.8,N19810B,0.079655412,5.355653648
N19826K,7.068,1.1287413976890999,4.0,10.0,50,6.0,N19826K,0.079655412,5.107565171
N19879Y,7.394,0.9318425898427789,5.1,9.7,50,4.6,N19879Y,0.079655412,7.460366334
N19898B,8.85,1.0604677443160135,5.3,10.0,50,4.7,N19898B,0.079655412,6.341588446
